        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 0.00000E+00 1.05673E+02 3.54090E+03 3.15950E+05 1.10067E+00 7.75758E+01 9.34623E+01 2.84365E+01 1.74382E-03 1.63188E-03 8.40871E-09 1.25746E-25 1.17390E+00 1.65953E-06
 1.70439E+17 1.05670E+02 3.53957E+03 3.15951E+05 1.10296E+00 7.75032E+01 9.34610E+01 2.84365E+01 1.74838E-03 1.64078E-03 8.46464E-09 1.27250E-25 1.17514E+00 1.66653E-06
 1.82692E+17 1.05667E+02 3.53913E+03 3.15951E+05 1.10307E+00 7.74968E+01 9.34610E+01 2.84365E+01 1.74867E-03 1.64107E-03 8.47503E-09 1.27426E-25 1.17518E+00 1.66722E-06
 1.95826E+17 1.05662E+02 3.53869E+03 3.15951E+05 1.10321E+00 7.74901E+01 9.34609E+01 2.84365E+01 1.74898E-03 1.64139E-03 8.48559E-09 1.27608E-25 1.17522E+00 1.66794E-06
 2.09904E+17 1.05658E+02 3.53824E+03 3.15951E+05 1.10335E+00 7.74831E+01 9.34609E+01 2.84365E+01 1.74931E-03 1.64173E-03 8.49632E-09 1.27798E-25 1.17527E+00 1.66870E-06
 2.24995E+17 1.05652E+02 3.53780E+03 3.15951E+05 1.10351E+00 7.74756E+01 9.34608E+01 2.84365E+01 1.74967E-03 1.64211E-03 8.50726E-09 1.27996E-25 1.17533E+00 1.66949E-06
 2.41170E+17 1.05646E+02 3.53736E+03 3.15951E+05 1.10368E+00 7.74677E+01 9.34608E+01 2.84365E+01 1.75006E-03 1.64251E-03 8.51839E-09 1.28202E-25 1.17540E+00 1.67033E-06
 2.58508E+17 1.05641E+02 3.53692E+03 3.15951E+05 1.10387E+00 7.74593E+01 9.34607E+01 2.84365E+01 1.75047E-03 1.64295E-03 8.52975E-09 1.28417E-25 1.17547E+00 1.67121E-06
 2.77092E+17 1.05650E+02 3.53736E+03 3.15951E+05 1.10419E+00 7.74534E+01 9.34605E+01 2.84365E+01 1.75099E-03 1.64362E-03 8.52484E-09 1.28466E-25 1.17570E+00 1.67165E-06
 2.97013E+17 1.05653E+02 3.53692E+03 3.15951E+05 1.10442E+00 7.74440E+01 9.34604E+01 2.84365E+01 1.75147E-03 1.64413E-03 8.53666E-09 1.28700E-25 1.17580E+00 1.67263E-06
 3.18365E+17 1.05648E+02 3.53647E+03 3.15951E+05 1.10467E+00 7.74340E+01 9.34603E+01 2.84365E+01 1.75199E-03 1.64468E-03 8.54875E-09 1.28945E-25 1.17591E+00 1.67366E-06
 3.41253E+17 1.05641E+02 3.53603E+03 3.15951E+05 1.10494E+00 7.74235E+01 9.34601E+01 2.84365E+01 1.75255E-03 1.64527E-03 8.56114E-09 1.29202E-25 1.17604E+00 1.67474E-06
 3.65786E+17 1.05636E+02 3.53559E+03 3.15951E+05 1.10523E+00 7.74122E+01 9.34600E+01 2.84365E+01 1.75315E-03 1.64591E-03 8.57384E-09 1.29472E-25 1.17618E+00 1.67589E-06
 3.92083E+17 1.05629E+02 3.53515E+03 3.15951E+05 1.10555E+00 7.74003E+01 9.34598E+01 2.84365E+01 1.75380E-03 1.64660E-03 8.58687E-09 1.29755E-25 1.17633E+00 1.67710E-06
 4.20271E+17 1.05621E+02 3.53382E+03 3.15951E+05 1.10579E+00 7.73848E+01 9.34598E+01 2.84365E+01 1.75442E-03 1.64715E-03 8.61690E-09 1.30231E-25 1.17636E+00 1.67887E-06
 4.50484E+17 1.05614E+02 3.53338E+03 3.15951E+05 1.10616E+00 7.73714E+01 9.34596E+01 2.84365E+01 1.75517E-03 1.64795E-03 8.63069E-09 1.30545E-25 1.17654E+00 1.68023E-06
 4.82870E+17 1.05622E+02 3.53382E+03 3.15951E+05 1.10668E+00 7.73600E+01 9.34593E+01 2.84365E+01 1.75604E-03 1.64901E-03 8.62819E-09 1.30697E-25 1.17689E+00 1.68119E-06
 5.17584E+17 1.05623E+02 3.53338E+03 3.15951E+05 1.10711E+00 7.73448E+01 9.34590E+01 2.84365E+01 1.75690E-03 1.64994E-03 8.64280E-09 1.31046E-25 1.17711E+00 1.68271E-06
 5.54794E+17 1.05615E+02 3.53294E+03 3.15951E+05 1.10759E+00 7.73286E+01 9.34588E+01 2.84365E+01 1.75783E-03 1.65094E-03 8.65788E-09 1.31414E-25 1.17736E+00 1.68434E-06
 5.94679E+17 1.05607E+02 3.53161E+03 3.15951E+05 1.10799E+00 7.73085E+01 9.34587E+01 2.84364E+01 1.75875E-03 1.65181E-03 8.69026E-09 1.31985E-25 1.17749E+00 1.68655E-06
 6.37431E+17 1.05597E+02 3.53117E+03 3.15951E+05 1.10854E+00 7.72901E+01 9.34584E+01 2.84364E+01 1.75982E-03 1.65297E-03 8.70643E-09 1.32398E-25 1.17778E+00 1.68838E-06
 6.83257E+17 1.05589E+02 3.52985E+03 3.15951E+05 1.10903E+00 7.72677E+01 9.34582E+01 2.84364E+01 1.76089E-03 1.65401E-03 8.74006E-09 1.33018E-25 1.17796E+00 1.69082E-06
